Date	TestName	StateName	Phase	Step	ModelRule	ActualRule	ActualStatus	ModelSel	ModelAction	ModelInput	ActualSel	ActualAction	ActualInput
02.24.2014-11.42.35	6x+1_7x-5	"state 6"	test	"-x=-6"	divide	N/A	N/A	dorminTable3_C1R3	UpdateTable	"divide -1"	N/A	N/A	"N/A"
02.24.2014-11.42.35	6x+1_7x-5	"state 7"	test	"-x=-6 (divide -1)"	divide-typein	N/A	N/A	dorminTable1_C1R4	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.42.35	6x+1_7x-5	"state 8"	test	"-x=-6 (divide -1)"	divide-typein	N/A	N/A	dorminTable2_C1R4	UpdateTable	"6"	N/A	N/A	"N/A"
02.24.2014-11.42.35	6x+1_7x-5	"state 9"	test	"x=6"	-kill-interactive-learning-	N/A	N/A	done	ButtonPressed	"-1"	N/A	N/A	"N/A"
02.24.2014-11.42.35	x+9_0	"x+9_0"	test	"x+9_0"	subtract	N/A	N/A	dorminTable3_C1R1	UpdateTable	"subtract 9"	N/A	N/A	"N/A"
02.24.2014-11.42.35	x+9_0	"state 1"	test	"x+9_0 (subtract 9)"	subtract-typein	N/A	N/A	dorminTable1_C1R2	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.42.35	x+9_0	"state 2"	test	"x+9_0 (subtract 9)"	subtract-typein	N/A	N/A	dorminTable2_C1R2	UpdateTable	"-9"	N/A	N/A	"N/A"
02.24.2014-11.42.35	x+9_0	"state 3"	test	"x=-9"	-kill-interactive-learning-	N/A	N/A	done	ButtonPressed	"-1"	N/A	N/A	"N/A"
02.24.2014-11.42.35	C4x+2DI3_4	"C4x+2DI3_4"	test	"C4x+2DI3_4"	multiply	N/A	N/A	dorminTable3_C1R1	UpdateTable	"multiply 3"	N/A	N/A	"N/A"
02.24.2014-11.42.35	C4x+2DI3_4	"state 1"	test	"C4x+2DI3_4 (multiply 3)"	multiply-typein	N/A	N/A	dorminTable1_C1R2	UpdateTable	"4x+2"	N/A	N/A	"N/A"
02.24.2014-11.42.35	C4x+2DI3_4	"state 2"	test	"C4x+2DI3_4 (multiply 3)"	multiply-typein	N/A	N/A	dorminTable2_C1R2	UpdateTable	"12"	N/A	N/A	"N/A"
